sw_quote,sw_character
I'm glad you're here to tell us these things,Han Solo
We all have a choice,Captain Rex
This party's over,Mace Windu
A Jedi craves not these things,Yoda
I feel the good in you,Luke Skywalker
You can't stop change any more than you can stop the suns from setting,Shmi Skywalker
How unfortunate that you are attempting to deceive me,Darth Sidious
"She may not look like much, but she's got it where it counts",Han Solo
Would it help if I got out and pushed?,Leia Organa
Only a Sith deals in absolutes,Obi-Wan Kenobi
"If there's a bright center to the universe, you're on the planet that its farthest from",Luke Skywalker
"Hello, what have we here?",Lando Calrissian
It's so good to see you fully functional again,C-3PO
"But try to remember, always put purpose ahead of your feelings",Anakin Skywalker
This is an unexpected pleasure. We are honored by your presence,Moff Jerjerrod
It's not my fault,Han Solo
Your focus determines your reality,Qui-Gon Jinn
Do. Or do not. There is no try,Yoda
Somebody has to save our skins,Leia Organa
In my experience there is no such thing as luck,Obi-Wan Kenobi
I find your lack of fairth disturbing,Darth Vader
I've got a bad feeling about this,Everyone
It's a trap,Admiral Ackbar
So this is how liberty dies… with thunderous applause,Padme Amidala
Your eyes can deceive you. Don't trust them,Obi-Wan Kenobi
Never tell me the odds,Han Solo
Mind tricks don't work on me,Watto
"Great, kid. Don't get cocky",Han Solo
Stay on target,Gold Five
"This is a new day, a new beginning",Ahsoka Tano
